time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
289000,0.00100,0.00010,100,100,0,0.0100,0.79368870,1.44032706
290000,0.00100,0.00010,100,100,0,0.0100,0.79528401,1.44177160
291000,0.00100,0.00010,100,100,0,0.0100,0.79979133,1.43588349
292000,0.00100,0.00010,100,100,0,0.0100,0.80000011,1.43252535
293000,0.00100,0.00010,100,100,0,0.0100,0.80007973,1.42889396
294000,0.00100,0.00010,100,100,0,0.0100,0.80015734,1.42741516
295000,0.00100,0.00010,100,100,0,0.0100,0.80617030,1.41694378
296000,0.00100,0.00010,100,100,0,0.0100,0.80435225,1.41644376
297000,0.00100,0.00010,100,100,0,0.0100,0.80147937,1.41485671
298000,0.00100,0.00010,100,100,0,0.0100,0.79944087,1.42110644
299000,0.00100,0.00010,100,100,0,0.0100,0.79718352,1.42373071
300000,0.00100,0.00010,100,100,0,0.0100,0.80103487,1.41908023
301000,0.00100,0.00010,100,100,0,0.0100,0.79522129,1.41581644
302000,0.00100,0.00010,100,100,0,0.0100,0.79221223,1.41699204
303000,0.00100,0.00010,100,100,0,0.0100,0.78752167,1.42385804
304000,0.00100,0.00010,100,100,0,0.0100,0.78850176,1.42868410
305000,0.00100,0.00010,100,100,0,0.0100,0.78561686,1.42803405
306000,0.00100,0.00010,100,100,0,0.0100,0.79311410,1.42310241
307000,0.00100,0.00010,100,100,0,0.0100,0.80212307,1.40796890
308000,0.00100,0.00010,100,100,0,0.0100,0.79443555,1.40574466
309000,0.00100,0.00010,100,100,0,0.0100,0.80085652,1.40651220
310000,0.00100,0.00010,100,100,0,0.0100,0.80174541,1.40920630
311000,0.00100,0.00010,100,100,0,0.0100,0.79825071,1.41781158
312000,0.00100,0.00010,100,100,0,0.0100,0.79568216,1.41811404
313000,0.00100,0.00010,100,100,0,0.0100,0.79687993,1.41535319
314000,0.00100,0.00010,100,100,0,0.0100,0.80014543,1.41304731
315000,0.00100,0.00010,100,100,0,0.0100,0.79335054,1.41138807
316000,0.00100,0.00010,100,100,0,0.0100,0.78925438,1.42024472
317000,0.00100,0.00010,100,100,0,0.0100,0.79394133,1.41992434
318000,0.00100,0.00010,100,100,0,0.0100,0.80055261,1.40859993
319000,0.00100,0.00010,100,100,0,0.0100,0.79808702,1.41048854
320000,0.00100,0.00010,100,100,0,0.0100,0.79791112,1.41677141
321000,0.00100,0.00010,100,100,0,0.0100,0.79381748,1.41557890
322000,0.00100,0.00010,100,100,0,0.0100,0.79625568,1.41794332
323000,0.00100,0.00010,100,100,0,0.0100,0.79921524,1.41178047
324000,0.00100,0.00010,100,100,0,0.0100,0.79669487,1.41295322
325000,0.00100,0.00010,100,100,0,0.0100,0.79792233,1.41532202
326000,0.00100,0.00010,100,100,0,0.0100,0.80936962,1.41044815
327000,0.00100,0.00010,100,100,0,0.0100,0.80382531,1.42580785
328000,0.00100,0.00010,100,100,0,0.0100,0.80188810,1.42793031
329000,0.00100,0.00010,100,100,0,0.0100,0.80322647,1.42230460
